Latitude,Longitude,Date,MODIS_Tile,MYD13A2_006_Line_Y_1km,MYD13A2_006_Sample_X_1km,MYD13A2_006__1_km_16_days_NDVI,MYD13A2_006__1_km_16_days_VI_Quality,MYD13A2_006__1_km_16_days_VI_Quality_bitmask,MYD13A2_006__1_km_16_days_VI_Quality_MODLAND,MYD13A2_006__1_km_16_days_VI_Quality_MODLAND_Description,MYD13A2_006__1_km_16_days_VI_Quality_VI_Usefulness,MYD13A2_006__1_km_16_days_VI_Quality_VI_Usefulness_Description,MYD13A2_006__1_km_16_days_VI_Quality_Aerosol_Quantity,MYD13A2_006__1_km_16_days_VI_Quality_Aerosol_Quantity_Description,MYD13A2_006__1_km_16_days_VI_Quality_Adjacent_cloud_detected,MYD13A2_006__1_km_16_days_VI_Quality_Adjacent_cloud_detected_Description,MYD13A2_006__1_km_16_days_VI_Quality_Atmosphere_BRDF_Correction,MYD13A2_006__1_km_16_days_VI_Quality_Atmosphere_BRDF_Correction_Description,MYD13A2_006__1_km_16_days_VI_Quality_Mixed_Clouds,MYD13A2_006__1_km_16_days_VI_Quality_Mixed_Clouds_Description,MYD13A2_006__1_km_16_days_VI_Quality_Land/Water_Mask,MYD13A2_006__1_km_16_days_VI_Quality_Land/Water_Mask_Description,MYD13A2_006__1_km_16_days_VI_Quality_Possible_snow/ice,MYD13A2_006__1_km_16_days_VI_Quality_Possible_snow/ice_Description,MYD13A2_006__1_km_16_days_VI_Quality_Possible_shadow,MYD13A2_006__1_km_16_days_VI_Quality_Possible_shadow_Description
43.0444,-78.7833,2008-01-09,h12v04,834.0,290.0,0.48799997568130493,35221.0,0b1000100110010101,0b01,"VI produced, but check other QA",0b0101,Decreasing quality (0101),0b10,Average,0b1,Yes,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b1,Yes
43.0444,-78.7833,2008-01-25,h12v04,834.0,290.0,0.06279999762773514,35098.0,0b1000100100011010,0b10,"Pixel produced, but most probably cloudy",0b0110,Decreasing quality (0110),0b00,Climatology,0b1,Yes,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b1,Yes
43.0444,-78.7833,2008-02-10,h12v04,834.0,290.0,0.3130999803543091,2518.0,0b0000100111010110,0b10,"Pixel produced, but most probably cloudy",0b0101,Decreasing quality (0101),0b11,High,0b1,Yes,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
43.0444,-78.7833,2008-02-26,h12v04,834.0,290.0,0.042799998074769974,2058.0,0b0000100000001010,0b10,"Pixel produced, but most probably cloudy",0b0010,Decreasing quality (0010),0b00,Climatology,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
43.0444,-78.7833,2008-03-13,h12v04,834.0,290.0,0.017400000244379044,2058.0,0b0000100000001010,0b10,"Pixel produced, but most probably cloudy",0b0010,Decreasing quality (0010),0b00,Climatology,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
43.0444,-78.7833,2008-03-29,h12v04,834.0,290.0,0.3849000036716461,2112.0,0b0000100001000000,0b00,"VI produced, good quality",0b0000,Highest quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
43.0444,-78.7833,2008-04-14,h12v04,834.0,290.0,0.4277999997138977,2181.0,0b0000100010000101,0b01,"VI produced, but check other QA",0b0001,Lower quality,0b10,Average,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
43.0444,-78.7833,2008-04-30,h12v04,834.0,290.0,0.7407000064849854,2112.0,0b0000100001000000,0b00,"VI produced, good quality",0b0000,Highest quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
43.0444,-78.7833,2008-05-16,h12v04,834.0,290.0,0.8037999868392944,2112.0,0b0000100001000000,0b00,"VI produced, good quality",0b0000,Highest quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
43.0444,-78.7833,2008-06-01,h12v04,834.0,290.0,0.8695999979972839,2112.0,0b0000100001000000,0b00,"VI produced, good quality",0b0000,Highest quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
